"group";"ISOweek";"deaths"
"15to44";"2016-W30";24
"15to44";"2016-W31";21
"15to44";"2016-W32";22
"15to44";"2016-W33";24
"15to44";"2016-W34";21
"15to44";"2016-W35";24
"15to44";"2016-W36";23
"15to44";"2016-W37";24
"15to44";"2016-W38";22
"15to44";"2016-W39";28
"15to44";"2016-W40";28
"15to44";"2016-W41";21
"15to44";"2016-W42";30
"15to44";"2016-W43";25
"15to44";"2016-W44";18
"15to44";"2016-W45";34
"15to44";"2016-W46";32
"15to44";"2016-W47";15
"15to44";"2016-W48";22
"15to44";"2016-W49";27
"15to44";"2016-W50";24
"15to44";"2016-W51";28
"15to44";"2016-W52";25
"15to44";"2017-W01";17
"15to44";"2017-W02";29
"15to44";"2017-W03";25
"15to44";"2017-W04";24
"15to44";"2017-W05";23
"15to44";"2017-W06";20
"15to44";"2017-W07";20
"15to44";"2017-W08";21
"15to44";"2017-W09";16
"15to44";"2017-W10";23
"15to44";"2017-W11";31
"15to44";"2017-W12";29
"15to44";"2017-W13";35
"15to44";"2017-W14";24
"15to44";"2017-W15";27
"15to44";"2017-W16";17
"15to44";"2017-W17";19
"15to44";"2017-W18";30
"15to44";"2017-W19";17
"15to44";"2017-W20";29
"15to44";"2017-W21";26
"15to44";"2017-W22";29
"15to44";"2017-W23";29
"15to44";"2017-W24";23
"15to44";"2017-W25";21
"15to44";"2017-W26";21
"15to44";"2017-W27";13
"15to44";"2017-W28";16
"15to44";"2017-W29";20
"15to44";"2017-W30";27
"15to44";"2017-W31";18
"15to44";"2017-W32";22
"15to44";"2017-W33";21
"15to44";"2017-W34";28
"15to44";"2017-W35";23
"15to44";"2017-W36";20
"15to44";"2017-W37";20
"15to44";"2017-W38";22
"15to44";"2017-W39";19
"15to44";"2017-W40";31
"15to44";"2017-W41";19
"15to44";"2017-W42";18
"15to44";"2017-W43";30
"15to44";"2017-W44";24
"15to44";"2017-W45";30
"15to44";"2017-W46";21
"15to44";"2017-W47";19
"15to44";"2017-W48";22
"15to44";"2017-W49";22
"15to44";"2017-W50";19
"15to44";"2017-W51";23
"15to44";"2017-W52";28
"15to44";"2018-W01";23
"15to44";"2018-W02";18
"15to44";"2018-W03";15
"15to44";"2018-W04";26
"15to44";"2018-W05";24
"15to44";"2018-W06";27
"15to44";"2018-W07";31
"15to44";"2018-W08";26
"15to44";"2018-W09";22
"15to44";"2018-W10";30
"15to44";"2018-W11";24
"15to44";"2018-W12";24
"15to44";"2018-W13";25
"15to44";"2018-W14";26
"15to44";"2018-W15";32
"15to44";"2018-W16";30
"15to44";"2018-W17";27
"15to44";"2018-W18";31
"15to44";"2018-W19";29
"15to44";"2018-W20";24
"15to44";"2018-W21";29
"15to44";"2018-W22";24
"15to44";"2018-W23";24
"15to44";"2018-W24";26
"15to44";"2018-W25";21
"15to44";"2018-W26";22
"15to44";"2018-W27";26
"15to44";"2018-W28";14
"15to44";"2018-W29";22
"15to44";"2018-W30";19
"15to44";"2018-W31";23
"15to44";"2018-W32";25
"15to44";"2018-W33";20
"15to44";"2018-W34";25
"15to44";"2018-W35";19
"15to44";"2018-W36";27
"15to44";"2018-W37";24
"15to44";"2018-W38";21
"15to44";"2018-W39";15
"15to44";"2018-W40";22
"15to44";"2018-W41";24
"15to44";"2018-W42";29
"15to44";"2018-W43";16
"15to44";"2018-W44";26
"15to44";"2018-W45";30
"15to44";"2018-W46";28
"15to44";"2018-W47";24
"15to44";"2018-W48";17
"15to44";"2018-W49";23
"15to44";"2018-W50";30
"15to44";"2018-W51";33
"15to44";"2018-W52";23
"15to44";"2019-W01";28
"15to44";"2019-W02";22
"15to44";"2019-W03";20
"15to44";"2019-W04";16
"15to44";"2019-W05";31
"15to44";"2019-W06";27
"15to44";"2019-W07";21
"15to44";"2019-W08";22
"15to44";"2019-W09";22
"15to44";"2019-W10";28
"15to44";"2019-W11";24
"15to44";"2019-W12";21
"15to44";"2019-W13";12
"15to44";"2019-W14";19
"15to44";"2019-W15";35
"15to44";"2019-W16";19
"15to44";"2019-W17";19
"15to44";"2019-W18";26
"15to44";"2019-W19";30
"15to44";"2019-W20";25
"15to44";"2019-W21";21
"15to44";"2019-W22";21
"15to44";"2019-W23";25
"15to44";"2019-W24";15
"15to44";"2019-W25";31
"15to44";"2019-W26";20
"15to44";"2019-W27";20
"15to44";"2019-W28";19
"15to44";"2019-W29";31
"15to44";"2019-W30";19
"15to44";"2019-W31";23
"15to44";"2019-W32";25
"15to44";"2019-W33";15
"15to44";"2019-W34";29
"15to44";"2019-W35";29
"15to44";"2019-W36";19
"15to44";"2019-W37";23
"15to44";"2019-W38";13
"15to44";"2019-W39";23
"15to44";"2019-W40";16
"15to44";"2019-W41";22
"15to44";"2019-W42";19
"15to44";"2019-W43";24
"15to44";"2019-W44";15
"15to44";"2019-W45";20
"15to44";"2019-W46";24
"15to44";"2019-W47";19
"15to44";"2019-W48";17
"15to44";"2019-W49";17
"15to44";"2019-W50";23
"15to44";"2019-W51";21
"15to44";"2019-W52";29
"15to44";"2020-W01";19
"15to44";"2020-W02";28
"15to44";"2020-W03";25
"15to44";"2020-W04";18
"15to44";"2020-W05";23
"15to44";"2020-W06";23
"15to44";"2020-W07";21
"15to44";"2020-W08";19
"15to44";"2020-W09";24
"15to44";"2020-W10";20
"15to44";"2020-W11";27
"15to44";"2020-W12";27
"15to44";"2020-W13";15
"15to44";"2020-W14";18
"15to44";"2020-W15";18.15421
"15to44";"2020-W16";26.53792
"15to44";"2020-W17";25.56783
"15to44";"2020-W18";20.81518
"15to44";"2020-W19";20.01832
"15to44";"2020-W20";22.17403
"15to44";"2020-W21";20.15174
"15to44";"2020-W22";19.99703
"45to64";"2014-W15";166
"45to64";"2014-W16";152
"45to64";"2014-W17";143
"45to64";"2014-W18";155
"45to64";"2014-W19";138
"45to64";"2014-W20";136
"45to64";"2014-W21";160
"45to64";"2014-W22";136
"45to64";"2014-W23";172
"45to64";"2014-W24";150
"45to64";"2014-W25";131
"45to64";"2014-W26";145
"45to64";"2014-W27";140
"45to64";"2014-W28";141
"45to64";"2014-W29";142
"45to64";"2014-W30";166
"45to64";"2014-W31";176
"45to64";"2014-W32";154
"45to64";"2014-W33";115
"45to64";"2014-W34";137
"45to64";"2014-W35";140
"45to64";"2014-W36";143
"45to64";"2014-W37";139
"45to64";"2014-W38";145
"45to64";"2014-W39";135
"45to64";"2014-W40";135
"45to64";"2014-W41";150
"45to64";"2014-W42";120
"45to64";"2014-W43";122
"45to64";"2014-W44";154
"45to64";"2014-W45";169
"45to64";"2014-W46";153
"45to64";"2014-W47";140
"45to64";"2014-W48";137
"45to64";"2014-W49";170
"45to64";"2014-W50";167
"45to64";"2014-W51";162
"45to64";"2014-W52";172
"45to64";"2015-W01";154
"45to64";"2015-W02";167
"45to64";"2015-W03";152
"45to64";"2015-W04";156
"45to64";"2015-W05";144
"45to64";"2015-W06";160
"45to64";"2015-W07";163
"45to64";"2015-W08";171
"45to64";"2015-W09";142
"45to64";"2015-W10";167
"45to64";"2015-W11";197
"45to64";"2015-W12";151
"45to64";"2015-W13";151
"45to64";"2015-W14";131
"45to64";"2015-W15";156
"45to64";"2015-W16";153
"45to64";"2015-W17";123
"45to64";"2015-W18";151
"45to64";"2015-W19";165
"45to64";"2015-W20";141
"45to64";"2015-W21";137
"45to64";"2015-W22";149
"45to64";"2015-W23";147
"45to64";"2015-W24";134
"45to64";"2015-W25";114
"45to64";"2015-W26";158
"45to64";"2015-W27";150
"45to64";"2015-W28";139
"45to64";"2015-W29";129
"45to64";"2015-W30";159
"45to64";"2015-W31";141
"45to64";"2015-W32";152
"45to64";"2015-W33";141
"45to64";"2015-W34";152
"45to64";"2015-W35";152
"45to64";"2015-W36";148
"45to64";"2015-W37";152
"45to64";"2015-W38";158
"45to64";"2015-W39";125
"45to64";"2015-W40";152
"45to64";"2015-W41";126
"45to64";"2015-W42";128
"45to64";"2015-W43";142
"45to64";"2015-W44";146
"45to64";"2015-W45";144
"45to64";"2015-W46";172
"45to64";"2015-W47";128
"45to64";"2015-W48";159
"45to64";"2015-W49";177
"45to64";"2015-W50";136
"45to64";"2015-W51";163
"45to64";"2015-W52";141
"45to64";"2015-W53";148
"45to64";"2016-W01";156
"45to64";"2016-W02";136
"45to64";"2016-W03";153
"45to64";"2016-W04";148
"45to64";"2016-W05";162
"45to64";"2016-W06";136
"45to64";"2016-W07";164
"45to64";"2016-W08";172
"45to64";"2016-W09";180
"45to64";"2016-W10";171
"45to64";"2016-W11";146
"45to64";"2016-W12";150
"45to64";"2016-W13";156
"45to64";"2016-W14";152
"45to64";"2016-W15";176
"45to64";"2016-W16";138
"45to64";"2016-W17";146
"45to64";"2016-W18";166
"45to64";"2016-W19";135
"45to64";"2016-W20";123
"45to64";"2016-W21";130
"45to64";"2016-W22";115
"45to64";"2016-W23";137
"45to64";"2016-W24";114
"45to64";"2016-W25";161
"45to64";"2016-W26";137
"45to64";"2016-W27";126
"45to64";"2016-W28";135
"45to64";"2016-W29";149
"45to64";"2016-W30";145
"45to64";"2016-W31";135
"45to64";"2016-W32";159
"45to64";"2016-W33";136
"45to64";"2016-W34";140
"45to64";"2016-W35";127
"45to64";"2016-W36";155
"45to64";"2016-W37";142
"45to64";"2016-W38";150
"45to64";"2016-W39";162
"45to64";"2016-W40";145
"45to64";"2016-W41";160
"45to64";"2016-W42";133
"45to64";"2016-W43";149
"45to64";"2016-W44";145
"45to64";"2016-W45";158
"45to64";"2016-W46";154
"45to64";"2016-W47";149
"45to64";"2016-W48";158
"45to64";"2016-W49";133
"45to64";"2016-W50";164
"45to64";"2016-W51";155
"45to64";"2016-W52";156
"45to64";"2017-W01";149
"45to64";"2017-W02";172
"45to64";"2017-W03";134
"45to64";"2017-W04";123
"45to64";"2017-W05";174
"45to64";"2017-W06";144
"45to64";"2017-W07";141
"45to64";"2017-W08";119
"45to64";"2017-W09";161
"45to64";"2017-W10";158
"45to64";"2017-W11";131
"45to64";"2017-W12";148
"45to64";"2017-W13";149
"45to64";"2017-W14";130
"45to64";"2017-W15";132
"45to64";"2017-W16";150
"45to64";"2017-W17";154
"45to64";"2017-W18";130
"45to64";"2017-W19";138
"45to64";"2017-W20";151
"45to64";"2017-W21";157
"45to64";"2017-W22";142
"45to64";"2017-W23";129
"45to64";"2017-W24";135
"45to64";"2017-W25";143
"45to64";"2017-W26";131
"45to64";"2017-W27";136
"45to64";"2017-W28";154
"45to64";"2017-W29";141
"45to64";"2017-W30";125
"45to64";"2017-W31";111
"45to64";"2017-W32";120
"45to64";"2017-W33";132
"45to64";"2017-W34";129
"45to64";"2017-W35";133
"45to64";"2017-W36";154
"45to64";"2017-W37";150
