"group";"ISOweek";"N"
"15to44";"2016-W14";2157106.42857143
"15to44";"2016-W15";2157239.85714286
"15to44";"2016-W16";2157113.71428571
"15to44";"2016-W17";2157540.14285714
"15to44";"2016-W18";2156875.14285714
"15to44";"2016-W19";2156903.85714286
"15to44";"2016-W20";2156420.57142857
"15to44";"2016-W21";2155930.71428571
"15to44";"2016-W22";2156393.85714286
"15to44";"2016-W23";2155904.57142857
"15to44";"2016-W24";2155999.57142857
"15to44";"2016-W25";2155839
"15to44";"2016-W26";2155467.42857143
"15to44";"2016-W27";2153718
"15to44";"2016-W28";2153658.85714286
"15to44";"2016-W29";2153419.42857143
"15to44";"2016-W30";2153826
"15to44";"2016-W31";2154470.14285714
"15to44";"2016-W32";2154638
"15to44";"2016-W33";2155691.57142857
"15to44";"2016-W34";2157357.71428571
"15to44";"2016-W35";2159843.14285714
"15to44";"2016-W36";2160874
"15to44";"2016-W37";2162626.14285714
"15to44";"2016-W38";2163351.42857143
"15to44";"2016-W39";2164480.28571429
"15to44";"2016-W40";2164338.42857143
"15to44";"2016-W41";2164669.57142857
"15to44";"2016-W42";2164766.57142857
"15to44";"2016-W43";2165020.57142857
"15to44";"2016-W44";2165385
"15to44";"2016-W45";2165230.28571429
"15to44";"2016-W46";2165390.14285714
"15to44";"2016-W47";2165301.14285714
"15to44";"2016-W48";2165314.85714286
"15to44";"2016-W49";2164750.28571429
"15to44";"2016-W50";2164114.57142857
"15to44";"2016-W51";2162860.57142857
"15to44";"2016-W52";2161746.14285714
"15to44";"2017-W01";2160700.71428571
"15to44";"2017-W02";2160874.28571429
"15to44";"2017-W03";2161161.28571429
"15to44";"2017-W04";2161784.28571429
"15to44";"2017-W05";2162457.85714286
"15to44";"2017-W06";2162664.28571429
"15to44";"2017-W07";2163378.42857143
"15to44";"2017-W08";2163571.28571429
"15to44";"2017-W09";2163745.57142857
"15to44";"2017-W10";2163312.28571429
"15to44";"2017-W11";2163419.28571429
"15to44";"2017-W12";2163341.71428571
"15to44";"2017-W13";2163607.42857143
"15to44";"2017-W14";2163031.85714286
"15to44";"2017-W15";2162891.57142857
"15to44";"2017-W16";2162546.85714286
"15to44";"2017-W17";2162466.42857143
"15to44";"2017-W18";2162402.14285714
"15to44";"2017-W19";2162141.14285714
"15to44";"2017-W20";2161873.28571429
"15to44";"2017-W21";2161586.71428571
"15to44";"2017-W22";2160915.42857143
"15to44";"2017-W23";2160228.14285714
"15to44";"2017-W24";2160165
"15to44";"2017-W25";2159762.71428571
"15to44";"2017-W26";2159346.57142857
"15to44";"2017-W27";2157270.57142857
"15to44";"2017-W28";2157129.28571429
"15to44";"2017-W29";2156530.71428571
"15to44";"2017-W30";2156491.57142857
"15to44";"2017-W31";2157049
"15to44";"2017-W32";2156865.42857143
"15to44";"2017-W33";2157942.42857143
"15to44";"2017-W34";2159502.28571429
"15to44";"2017-W35";2162165.28571429
"15to44";"2017-W36";2163158
"15to44";"2017-W37";2165193.57142857
"15to44";"2017-W38";2166236.14285714
"15to44";"2017-W39";2167217.28571429
"15to44";"2017-W40";2166963.14285714
"15to44";"2017-W41";2167278.85714286
"15to44";"2017-W42";2167511.71428571
"15to44";"2017-W43";2167683.85714286
"15to44";"2017-W44";2168126.28571429
"15to44";"2017-W45";2167777.57142857
"15to44";"2017-W46";2167976.71428571
"15to44";"2017-W47";2167995.57142857
"15to44";"2017-W48";2168297.85714286
"15to44";"2017-W49";2167637.14285714
"15to44";"2017-W50";2167398
"15to44";"2017-W51";2166708.85714286
"15to44";"2017-W52";2165347.42857143
"15to44";"2018-W01";2163617.14285714
"15to44";"2018-W02";2163758.42857143
"15to44";"2018-W03";2164412.28571429
"15to44";"2018-W04";2164870.71428571
"15to44";"2018-W05";2166396.14285714
"15to44";"2018-W06";2166247
"15to44";"2018-W07";2166499.28571429
"15to44";"2018-W08";2166691.71428571
"15to44";"2018-W09";2167126.14285714
"15to44";"2018-W10";2166679.57142857
"15to44";"2018-W11";2166779.14285714
"15to44";"2018-W12";2166738.42857143
"15to44";"2018-W13";2166939.57142857
"15to44";"2018-W14";2166037
"15to44";"2018-W15";2166085.28571429
"15to44";"2018-W16";2166093.28571429
"15to44";"2018-W17";2166298.42857143
"15to44";"2018-W18";2166243.71428571
"15to44";"2018-W19";2165732.28571429
"15to44";"2018-W20";2165682.85714286
"15to44";"2018-W21";2165612.71428571
"15to44";"2018-W22";2165052
"15to44";"2018-W23";2164281.42857143
"15to44";"2018-W24";2164274.42857143
"15to44";"2018-W25";2163819.28571429
"15to44";"2018-W26";2163840.42857143
"15to44";"2018-W27";2161700.71428571
"15to44";"2018-W28";2161531.14285714
"15to44";"2018-W29";2161277.85714286
"15to44";"2018-W30";2161461.71428571
"15to44";"2018-W31";2162139.85714286
"15to44";"2018-W32";2161802.71428571
"15to44";"2018-W33";2163154.85714286
"15to44";"2018-W34";2164744.57142857
"15to44";"2018-W35";2167429.71428571
"15to44";"2018-W36";2168133
"15to44";"2018-W37";2170500.14285714
"15to44";"2018-W38";2171521.42857143
"15to44";"2018-W39";2172344.14285714
"15to44";"2018-W40";2172668.57142857
"15to44";"2018-W41";2172587.57142857
"15to44";"2018-W42";2172904.28571429
"15to44";"2018-W43";2173030.28571429
"15to44";"2018-W44";2173425.71428571
"15to44";"2018-W45";2173011.28571429
"15to44";"2018-W46";2173205.28571429
"15to44";"2018-W47";2173222.28571429
"15to44";"2018-W48";2173529.28571429
"15to44";"2018-W49";2172857.85714286
"15to44";"2018-W50";2172841.14285714
"15to44";"2018-W51";2171832.57142857
"15to44";"2018-W52";2170760.71428571
"15to44";"2019-W01";2168704.14285714
"15to44";"2019-W02";2168649.85714286
"15to44";"2019-W03";2169079.85714286
