"group";"ISOweek";"GSIPLS"
"15to44";"2016-W11";0.0106288645502123
"15to44";"2016-W12";0.00529402897724399
"15to44";"2016-W13";0.00273246651559736
"15to44";"2016-W14";0.00146224841313954
"15to44";"2016-W15";0.000934743352961703
"15to44";"2016-W16";0.000499662638922819
"15to44";"2016-W17";0.00024747692399276
"15to44";"2016-W18";0.000505576997734958
"15to44";"2016-W19";0.000200118899904616
"15to44";"2016-W20";0
"15to44";"2016-W21";0
"15to44";"2016-W22";2.04299560942325e-05
"15to44";"2016-W23";0
"15to44";"2016-W24";2.21584758392808e-05
"15to44";"2016-W25";0
"15to44";"2016-W26";2.51827371566383e-05
"15to44";"2016-W27";0
"15to44";"2016-W28";7.5675150522298e-05
"15to44";"2016-W29";4.7442266281489e-05
"15to44";"2016-W30";0
"15to44";"2016-W31";4.95503670810253e-05
"15to44";"2016-W32";5.34198975656295e-05
"15to44";"2016-W33";0
"15to44";"2016-W34";6.78957763516519e-05
"15to44";"2016-W35";3.64421924652669e-05
"15to44";"2016-W36";6.59616982485851e-05
"15to44";"2016-W37";5.34536186998797e-05
"15to44";"2016-W38";0
"15to44";"2016-W39";2.96693157918567e-05
"15to44";"2016-W40";3.09540629249591e-05
"15to44";"2016-W41";0
"15to44";"2016-W42";6.61514774131321e-05
"15to44";"2016-W43";3.45613708443595e-05
"15to44";"2016-W44";5.24644179478309e-05
"15to44";"2016-W45";9.47054089992877e-05
"15to44";"2016-W46";3.09240018992691e-05
"15to44";"2016-W47";0.000197076736064355
"15to44";"2016-W48";0.000225440986269922
"15to44";"2016-W49";0.000386245082831878
"15to44";"2016-W50";0.000798566529816408
"15to44";"2016-W51";0.00144635514983864
"15to44";"2016-W52";0.00272621462014051
"15to44";"2017-W01";0.00266245267924042
"15to44";"2017-W02";0.00372961906242571
"15to44";"2017-W03";0.00433347354765785
"15to44";"2017-W04";0.00515159347730654
"15to44";"2017-W05";0.00597490626969178
"15to44";"2017-W06";0.00514676048599324
"15to44";"2017-W07";0.00452650994007377
"15to44";"2017-W08";0.00343000648793758
"15to44";"2017-W09";0.00174804752846211
"15to44";"2017-W10";0.000796167448109492
"15to44";"2017-W11";0.000851212389042207
"15to44";"2017-W12";0.000445721983956319
"15to44";"2017-W13";0.000311886034119369
"15to44";"2017-W14";0.000138927277493436
"15to44";"2017-W15";0.000117996623827736
"15to44";"2017-W16";7.44128933478057e-05
"15to44";"2017-W17";0.000145201474438168
"15to44";"2017-W18";7.24981245678496e-05
"15to44";"2017-W19";4.83437524361036e-05
"15to44";"2017-W20";0.000106981709749412
"15to44";"2017-W21";2.48263380352164e-05
"15to44";"2017-W22";0
"15to44";"2017-W23";1.92860491912977e-05
"15to44";"2017-W24";3.72885416050162e-05
"15to44";"2017-W25";0
"15to44";"2017-W26";2.16609086531132e-05
"15to44";"2017-W27";4.72730303369424e-05
"15to44";"2017-W28";0
"15to44";"2017-W29";1.44066666329763e-05
"15to44";"2017-W30";1.67725491256764e-05
"15to44";"2017-W31";4.12649389778881e-05
"15to44";"2017-W32";7.0291312696502e-05
"15to44";"2017-W33";0.000136576949264272
"15to44";"2017-W34";4.33155699568504e-05
"15to44";"2017-W35";0
"15to44";"2017-W36";2.47902841709895e-05
"15to44";"2017-W37";0
"15to44";"2017-W38";2.940813552998e-05
"15to44";"2017-W39";5.49306570730704e-05
"15to44";"2017-W40";5.40917045683124e-05
"15to44";"2017-W41";0
"15to44";"2017-W42";0
"15to44";"2017-W43";7.2358079294177e-05
"15to44";"2017-W44";0.000104663668611842
"15to44";"2017-W45";0.000127679688115885
"15to44";"2017-W46";6.46791579329471e-05
"15to44";"2017-W47";0.000135951522858766
"15to44";"2017-W48";0.000208443422066879
"15to44";"2017-W49";0.000362018817427406
"15to44";"2017-W50";0.000835317657960816
"15to44";"2017-W51";0.00106398223138915
"15to44";"2017-W52";0.00227908221853018
"15to44";"2018-W01";0.0030122366270298
"15to44";"2018-W02";0.00257077835021245
"15to44";"2018-W03";0.00618825547157035
"15to44";"2018-W04";0.0123236880419874
"15to44";"2018-W05";0.018558480182155
"15to44";"2018-W06";0.027746297743788
"15to44";"2018-W07";0.0322567232934463
"15to44";"2018-W08";0.0271156807503069
"15to44";"2018-W09";0.0210208349279541
"15to44";"2018-W10";0.026597505652438
"15to44";"2018-W11";0.0145657066231732
"15to44";"2018-W12";0.01422140112905
"15to44";"2018-W13";0.00707253775666882
"15to44";"2018-W14";0.00389409735984559
